Year,Vinyl Scarcity Range,Record Condition,Genre,Price
2015,$201 - $400 (90818 to 50456 copies),Near Mint,Motown,$353.81
2015,$1001 - $1800 (10091 to 20181 copies),Poor,Motown,$74.09
2015,$401 - $1000 (50455 to 10092 copies),Good,Motown,$34.76
2015,$1801 - $3000 (100 to 10090 copies),Poor,Motown,$113.84
2015,$20 - $200 (100000 to 90819 copies),Near Mint,Motown,$47.64
2015,$1001 - $1800 (10091 to 20181 copies),Near Mint,Motown,$1340.12
2015,$1801 - $3000 (100 to 10090 copies),Very Good ++,Motown,$2973.06
2015,$201 - $400 (90818 to 50456 copies),Very Good,Northern Soul,$523.93
2015,$401 - $1000 (50455 to 10092 copies),Very Good ++,Northern Soul,$738.63
2015,$201 - $400 (90818 to 50456 copies),Poor,Northern Soul,$13.34
2015,$1801 - $3000 (100 to 10090 copies),Good,Motown,$115.36
2015,$20 - $200 (100000 to 90819 copies),Good,Motown,$11.66
2015,$401 - $1000 (50455 to 10092 copies),Poor,Motown,$24.13
2015,$1001 - $1800 (10091 to 20181 copies),Good,Motown,$100.66
2015,$1801 - $3000 (100 to 10090 copies),Near Mint,Northern Soul,$3536.08
2015,$1001 - $1800 (10091 to 20181 copies),Very Good ++,Motown,$1097.89
2015,$1001 - $1800 (10091 to 20181 copies),Very Good,Northern Soul,$1745.60
2015,$20 - $200 (100000 to 90819 copies),Poor,Motown,$3.93
2015,$401 - $1000 (50455 to 10092 copies),Poor,Motown,$21.92
2015,$1801 - $3000 (100 to 10090 copies),Very Good ++,Motown,$2352.97
2015,$401 - $1000 (50455 to 10092 copies),Very Good ++,Motown,$943.31
2015,$20 - $200 (100000 to 90819 copies),Very Good ++,Motown,$29.69
2015,$1801 - $3000 (100 to 10090 copies),Poor,Motown,$123.75
2015,$201 - $400 (90818 to 50456 copies),Good,Northern Soul,$29.02
2015,$201 - $400 (90818 to 50456 copies),Very Good ++,Motown,$238.44
2015,$20 - $200 (100000 to 90819 copies),Very Good ++,Northern Soul,$291.37
2015,$1001 - $1800 (10091 to 20181 copies),Very Good,Northern Soul,$2045.10
2015,$1801 - $3000 (100 to 10090 copies),Very Good ++,Motown,$2069.26
2015,$201 - $400 (90818 to 50456 copies),Poor,Motown,$14.87
2015,$20 - $200 (100000 to 90819 copies),Poor,Northern Soul,$7.18
2015,$1801 - $3000 (100 to 10090 copies),Good,Motown,$188.25
2015,$20 - $200 (100000 to 90819 copies),Good,Motown,$8.10
2015,$201 - $400 (90818 to 50456 copies),Very Good ++,Motown,$396.15
2015,$1801 - $3000 (100 to 10090 copies),Good,Motown,$162.16
2015,$1001 - $1800 (10091 to 20181 copies),Near Mint,Northern Soul,$2953.83
2015,$201 - $400 (90818 to 50456 copies),Very Good,Motown,$217.94
2015,$201 - $400 (90818 to 50456 copies),Very Good,Northern Soul,$346.53
2015,$20 - $200 (100000 to 90819 copies),Poor,Northern Soul,$8.57
2015,$1801 - $3000 (100 to 10090 copies),Poor,Motown,$103.94
2015,$1801 - $3000 (100 to 10090 copies),Very Good,Motown,$2506.80
2015,$20 - $200 (100000 to 90819 copies),Good,Northern Soul,$6.95
2015,$1001 - $1800 (10091 to 20181 copies),Near Mint,Northern Soul,$2517.64
2015,$1801 - $3000 (100 to 10090 copies),Poor,Northern Soul,$189.68
2015,$20 - $200 (100000 to 90819 copies),Good,Northern Soul,$3.98
2015,$20 - $200 (100000 to 90819 copies),Near Mint,Motown,$76.27
2015,$1801 - $3000 (100 to 10090 copies),Good,Northern Soul,$199.40
2015,$401 - $1000 (50455 to 10092 copies),Near Mint,Northern Soul,$931.90
2015,$20 - $200 (100000 to 90819 copies),Poor,Northern Soul,$11.00
2015,$20 - $200 (100000 to 90819 copies),Poor,Northern Soul,$10.32
2015,$401 - $1000 (50455 to 10092 copies),Good,Northern Soul,$71.32
2015,$1001 - $1800 (10091 to 20181 copies),Near Mint,Motown,$1204.88
2015,$201 - $400 (90818 to 50456 copies),Near Mint,Motown,$405.63
2015,$1801 - $3000 (100 to 10090 copies),Near Mint,Motown,$2559.53
2015,$20 - $200 (100000 to 90819 copies),Very Good,Northern Soul,$238.73
2015,$20 - $200 (100000 to 90819 copies),Very Good,Motown,$122.57
2015,$20 - $200 (100000 to 90819 copies),Very Good,Northern Soul,$256.42
2015,$201 - $400 (90818 to 50456 copies),Good,Motown,$25.20
2015,$201 - $400 (90818 to 50456 copies),Very Good ++,Motown,$241.43
2015,$401 - $1000 (50455 to 10092 copies),Very Good ++,Motown,$572.03
2015,$20 - $200 (100000 to 90819 copies),Very Good ++,Motown,$178.04
2015,$201 - $400 (90818 to 50456 copies),Good,Northern Soul,$26.38
2015,$201 - $400 (90818 to 50456 copies),Good,Motown,$21.19
2015,$1001 - $1800 (10091 to 20181 copies),Very Good,Northern Soul,$2221.09
2015,$401 - $1000 (50455 to 10092 copies),Very Good,Northern Soul,$1060.95
2015,$1801 - $3000 (100 to 10090 copies),Very Good,Motown,$1664.88
2015,$401 - $1000 (50455 to 10092 copies),Good,Northern Soul,$41.33
2015,$1801 - $3000 (100 to 10090 copies),Very Good ++,Northern Soul,$4172.26
2016,$401 - $1000 (50455 to 10092 copies),Very Good ++,Motown,$644.37
2016,$1801 - $3000 (100 to 10090 copies),Good,Northern Soul,$180.79
2016,$1001 - $1800 (10091 to 20181 copies),Poor,Motown,$54.91
2016,$20 - $200 (100000 to 90819 copies),Very Good,Northern Soul,$183.04
2016,$20 - $200 (100000 to 90819 copies),Very Good,Northern Soul,$183.87
2016,$401 - $1000 (50455 to 10092 copies),Very Good ++,Northern Soul,$1143.63
2016,$201 - $400 (90818 to 50456 copies),Very Good ++,Northern Soul,$523.83
2016,$201 - $400 (90818 to 50456 copies),Near Mint,Northern Soul,$476.26
2016,$20 - $200 (100000 to 90819 copies),Very Good,Northern Soul,$75.93
2016,$1801 - $3000 (100 to 10090 copies),Near Mint,Northern Soul,$3985.90
2016,$1001 - $1800 (10091 to 20181 copies),Good,Northern Soul,$159.43
2016,$201 - $400 (90818 to 50456 copies),Poor,Northern Soul,$19.73
2016,$1801 - $3000 (100 to 10090 copies),Very Good,Motown,$2388.60
2016,$201 - $400 (90818 to 50456 copies),Very Good,Motown,$310.35
2016,$201 - $400 (90818 to 50456 copies),Poor,Motown,$10.61
2016,$1001 - $1800 (10091 to 20181 copies),Near Mint,Motown,$1508.19
2016,$1801 - $3000 (100 to 10090 copies),Good,Northern Soul,$233.39
2016,$201 - $400 (90818 to 50456 copies),Good,Motown,$24.14
2016,$20 - $200 (100000 to 90819 copies),Very Good ++,Motown,$52.69
2016,$1801 - $3000 (100 to 10090 copies),Very Good ++,Motown,$2518.72
2016,$20 - $200 (100000 to 90819 copies),Very Good ++,Motown,$167.54
2016,$1801 - $3000 (100 to 10090 copies),Near Mint,Northern Soul,$4968.76
2016,$1001 - $1800 (10091 to 20181 copies),Near Mint,Northern Soul,$2813.22
2016,$1801 - $3000 (100 to 10090 copies),Very Good ++,Motown,$2746.50
2016,$1001 - $1800 (10091 to 20181 copies),Very Good ++,Northern Soul,$2498.60
2016,$401 - $1000 (50455 to 10092 copies),Near Mint,Northern Soul,$1312.15
2016,$401 - $1000 (50455 to 10092 copies),Very Good ++,Motown,$844.98
2016,$201 - $400 (90818 to 50456 copies),Very Good,Northern Soul,$347.45
2016,$1801 - $3000 (100 to 10090 copies),Poor,Motown,$84.23
2016,$1001 - $1800 (10091 to 20181 copies),Good,Motown,$67.09
2016,$1001 - $1800 (10091 to 20181 copies),Very Good,Northern Soul,$1750.50
2016,$201 - $400 (90818 to 50456 copies),Very Good ++,Northern Soul,$594.46
2016,$1801 - $3000 (100 to 10090 copies),Poor,Northern Soul,$154.24
2016,$401 - $1000 (50455 to 10092 copies),Very Good,Northern Soul,$1197.74
2016,$1001 - $1800 (10091 to 20181 copies),Near Mint,Motown,$1537.16
2016,$401 - $1000 (50455 to 10092 copies),Very Good ++,Northern Soul,$652.68
2016,$401 - $1000 (50455 to 10092 copies),Very Good ++,Motown,$922.55
2016,$201 - $400 (90818 to 50456 copies),Near Mint,Motown,$421.53
2016,$1801 - $3000 (100 to 10090 copies),Near Mint,Motown,$2101.33
2016,$1001 - $1800 (10091 to 20181 copies),Good,Northern Soul,$111.75
2016,$401 - $1000 (50455 to 10092 copies),Very Good ++,Northern Soul,$823.34
2016,$401 - $1000 (50455 to 10092 copies),Very Good,Northern Soul,$745.36
2016,$1001 - $1800 (10091 to 20181 copies),Very Good,Motown,$1181.96
2016,$1801 - $3000 (100 to 10090 copies),Poor,Northern Soul,$134.54
2016,$20 - $200 (100000 to 90819 copies),Poor,Motown,$8.11
2016,$201 - $400 (90818 to 50456 copies),Poor,Motown,$10.56
2016,$1001 - $1800 (10091 to 20181 copies),Poor,Motown,$58.33
2016,$401 - $1000 (50455 to 10092 copies),Very Good,Motown,$655.83
2016,$20 - $200 (100000 to 90819 copies),Good,Northern Soul,$3.85
2016,$20 - $200 (100000 to 90819 copies),Very Good,Northern Soul,$120.01
2016,$201 - $400 (90818 to 50456 copies),Poor,Motown,$9.40
2016,$401 - $1000 (50455 to 10092 copies),Near Mint,Motown,$970.12
2016,$1801 - $3000 (100 to 10090 copies),Poor,Northern Soul,$158.58
2016,$401 - $1000 (50455 to 10092 copies),Poor,Northern Soul,$26.56
2016,$1001 - $1800 (10091 to 20181 copies),Very Good ++,Motown,$1374.33
2016,$401 - $1000 (50455 to 10092 copies),Very Good ++,Motown,$675.09
2016,$1801 - $3000 (100 to 10090 copies),Very Good,Northern Soul,$3096.56
2016,$1801 - $3000 (100 to 10090 copies),Very Good,Northern Soul,$3705.55
2016,$20 - $200 (100000 to 90819 copies),Very Good,Northern Soul,$83.89
2016,$1001 - $1800 (10091 to 20181 copies),Near Mint,Northern Soul,$2145.93
2016,$1001 - $1800 (10091 to 20181 copies),Very Good,Motown,$1193.79
2016,$401 - $1000 (50455 to 10092 copies),Very Good,Northern Soul,$746.46
2016,$1801 - $3000 (100 to 10090 copies),Very Good,Motown,$2077.94
2016,$201 - $400 (90818 to 50456 copies),Poor,Motown,$14.63
2016,$1001 - $1800 (10091 to 20181 copies),Near Mint,Motown,$1715.84
2016,$1001 - $1800 (10091 to 20181 copies),Very Good ++,Motown,$1096.86
2016,$201 - $400 (90818 to 50456 copies),Very Good ++,Motown,$267.17
2016,$1801 - $3000 (100 to 10090 copies),Very Good,Northern Soul,$3236.04
2016,$401 - $1000 (50455 to 10092 copies),Very Good ++,Northern Soul,$954.31
2016,$1001 - $1800 (10091 to 20181 copies),Very Good,Northern Soul,$1578.06
2016,$20 - $200 (100000 to 90819 copies),Good,Northern Soul,$4.05
2016,$1801 - $3000 (100 to 10090 copies),Good,Motown,$131.35
2016,$1001 - $1800 (10091 to 20181 copies),Very Good,Northern Soul,$2342.95
2016,$201 - $400 (90818 to 50456 copies),Very Good,Motown,$234.21
2016,$401 - $1000 (50455 to 10092 copies),Poor,Motown,$24.03
2016,$20 - $200 (100000 to 90819 copies),Near Mint,Northern Soul,$245.95
2016,$201 - $400 (90818 to 50456 copies),Very Good ++,Motown,$382.16
2016,$1801 - $3000 (100 to 10090 copies),Very Good,Northern Soul,$3118.35
2016,$401 - $1000 (50455 to 10092 copies),Good,Motown,$35.20
2016,$1001 - $1800 (10091 to 20181 copies),Poor,Motown,$56.15
2016,$20 - $200 (100000 to 90819 copies),Near Mint,Motown,$52.28
2016,$1801 - $3000 (100 to 10090 copies),Very Good,Motown,$2569.24
2016,$20 - $200 (100000 to 90819 copies),Near Mint,Northern Soul,$218.24
2016,$1801 - $3000 (100 to 10090 copies),Good,Northern Soul,$228.26
2016,$1001 - $1800 (10091 to 20181 copies),Very Good,Northern Soul,$1634.68
2016,$1801 - $3000 (100 to 10090 copies),Poor,Motown,$124.83
2016,$201 - $400 (90818 to 50456 copies),Good,Northern Soul,$32.41
2016,$201 - $400 (90818 to 50456 copies),Good,Motown,$19.82
2016,$201 - $400 (90818 to 50456 copies),Poor,Northern Soul,$18.89
2016,$1801 - $3000 (100 to 10090 copies),Very Good ++,Northern Soul,$2870.61
2016,$401 - $1000 (50455 to 10092 copies),Very Good,Northern Soul,$582.49
2016,$201 - $400 (90818 to 50456 copies),Very Good,Motown,$245.19
2016,$1801 - $3000 (100 to 10090 copies),Good,Motown,$184.25
2016,$201 - $400 (90818 to 50456 copies),Poor,Motown,$9.95
2016,$401 - $1000 (50455 to 10092 copies),Near Mint,Northern Soul,$1122.25
2016,$1001 - $1800 (10091 to 20181 copies),Very Good,Northern Soul,$2303.26
2016,$1801 - $3000 (100 to 10090 copies),Near Mint,Northern Soul,$3930.73
2016,$1801 - $3000 (100 to 10090 copies),Poor,Northern Soul,$174.31
2016,$1801 - $3000 (100 to 10090 copies),Very Good,Motown,$1640.17
2016,$1801 - $3000 (100 to 10090 copies),Near Mint,Motown,$3314.43
2017,$401 - $1000 (50455 to 10092 copies),Near Mint,Motown,$948.20
2017,$201 - $400 (90818 to 50456 copies),Very Good ++,Northern Soul,$597.95
2017,$201 - $400 (90818 to 50456 copies),Near Mint,Northern Soul,$553.17
2017,$1001 - $1800 (10091 to 20181 copies),Poor,Northern Soul,$83.14
2017,$401 - $1000 (50455 to 10092 copies),Very Good,Motown,$785.34
2017,$401 - $1000 (50455 to 10092 copies),Very Good ++,Northern Soul,$894.88
2017,$1001 - $1800 (10091 to 20181 copies),Near Mint,Motown,$1507.67
2017,$401 - $1000 (50455 to 10092 copies),Very Good,Northern Soul,$617.68
2017,$1001 - $1800 (10091 to 20181 copies),Near Mint,Motown,$1686.75
2017,$1801 - $3000 (100 to 10090 copies),Very Good ++,Northern Soul,$2910.95
2017,$1801 - $3000 (100 to 10090 copies),Very Good,Northern Soul,$3349.29
2017,$20 - $200 (100000 to 90819 copies),Good,Northern Soul,$11.59
2017,$401 - $1000 (50455 to 10092 copies),Very Good ++,Northern Soul,$739.03
2017,$1801 - $3000 (100 to 10090 copies),Good,Motown,$138.57
2017,$20 - $200 (100000 to 90819 copies),Near Mint,Northern Soul,$62.15
2017,$20 - $200 (100000 to 90819 copies),Very Good ++,Motown,$139.32
2017,$201 - $400 (90818 to 50456 copies),Very Good ++,Northern Soul,$471.53
2017,$401 - $1000 (50455 to 10092 copies),Very Good ++,Northern Soul,$1541.54
2017,$201 - $400 (90818 to 50456 copies),Very Good ++,Motown,$282.88
2017,$1801 - $3000 (100 to 10090 copies),Near Mint,Motown,$3134.85
2017,$401 - $1000 (50455 to 10092 copies),Very Good ++,Northern Soul,$1498.56
2017,$1801 - $3000 (100 to 10090 copies),Very Good,Motown,$1837.30
2017,$401 - $1000 (50455 to 10092 copies),Near Mint,Northern Soul,$1553.60
2017,$1001 - $1800 (10091 to 20181 copies),Near Mint,Northern Soul,$2157.71
2017,$1801 - $3000 (100 to 10090 copies),Near Mint,Northern Soul,$3966.36
2017,$401 - $1000 (50455 to 10092 copies),Good,Motown,$47.40
2017,$201 - $400 (90818 to 50456 copies),Very Good ++,Motown,$269.60
2017,$1001 - $1800 (10091 to 20181 copies),Very Good ++,Northern Soul,$2793.56
2017,$201 - $400 (90818 to 50456 copies),Very Good ++,Motown,$230.65
2017,$1801 - $3000 (100 to 10090 copies),Very Good,Motown,$2446.00
2017,$1001 - $1800 (10091 to 20181 copies),Poor,Northern Soul,$65.86
2017,$201 - $400 (90818 to 50456 copies),Very Good ++,Motown,$220.21
2017,$401 - $1000 (50455 to 10092 copies),Very Good,Northern Soul,$1037.60
2017,$401 - $1000 (50455 to 10092 copies),Near Mint,Northern Soul,$1643.58
2017,$1001 - $1800 (10091 to 20181 copies),Near Mint,Motown,$1651.26
2017,$201 - $400 (90818 to 50456 copies),Very Good,Motown,$300.14
2017,$1001 - $1800 (10091 to 20181 copies),Poor,Motown,$57.61
2017,$401 - $1000 (50455 to 10092 copies),Poor,Motown,$25.30
2017,$20 - $200 (100000 to 90819 copies),Very Good,Northern Soul,$114.85
2017,$201 - $400 (90818 to 50456 copies),Good,Northern Soul,$30.58
2017,$201 - $400 (90818 to 50456 copies),Good,Motown,$13.82
2017,$1001 - $1800 (10091 to 20181 copies),Near Mint,Motown,$1545.49
2017,$1801 - $3000 (100 to 10090 copies),Good,Motown,$150.06
2017,$401 - $1000 (50455 to 10092 copies),Very Good ++,Northern Soul,$1248.68
2017,$1001 - $1800 (10091 to 20181 copies),Very Good,Motown,$910.02
2017,$401 - $1000 (50455 to 10092 copies),Near Mint,Northern Soul,$1324.49
2017,$1001 - $1800 (10091 to 20181 copies),Very Good,Northern Soul,$2201.11
2017,$201 - $400 (90818 to 50456 copies),Very Good ++,Northern Soul,$346.67
2017,$1001 - $1800 (10091 to 20181 copies),Near Mint,Northern Soul,$2467.86
2017,$401 - $1000 (50455 to 10092 copies),Poor,Northern Soul,$36.75
2017,$1801 - $3000 (100 to 10090 copies),Poor,Northern Soul,$181.97
2017,$401 - $1000 (50455 to 10092 copies),Good,Northern Soul,$51.89
2017,$201 - $400 (90818 to 50456 copies),Near Mint,Northern Soul,$567.63
2017,$201 - $400 (90818 to 50456 copies),Poor,Motown,$11.16
2017,$1001 - $1800 (10091 to 20181 copies),Poor,Northern Soul,$103.10
2017,$20 - $200 (100000 to 90819 copies),Very Good,Northern Soul,$202.92
2017,$201 - $400 (90818 to 50456 copies),Good,Motown,$22.79
2017,$401 - $1000 (50455 to 10092 copies),Near Mint,Northern Soul,$1518.39
2017,$401 - $1000 (50455 to 10092 copies),Very Good ++,Northern Soul,$1323.17
2017,$401 - $1000 (50455 to 10092 copies),Poor,Northern Soul,$63.56
2017,$201 - $400 (90818 to 50456 copies),Good,Northern Soul,$38.36
2017,$1801 - $3000 (100 to 10090 copies),Very Good,Motown,$2360.04
2017,$20 - $200 (100000 to 90819 copies),Very Good,Motown,$87.45
2017,$401 - $1000 (50455 to 10092 copies),Near Mint,Northern Soul,$1510.23
2017,$401 - $1000 (50455 to 10092 copies),Poor,Motown,$29.05
2017,$1801 - $3000 (100 to 10090 copies),Near Mint,Northern Soul,$4898.28
2017,$201 - $400 (90818 to 50456 copies),Poor,Northern Soul,$24.83
2017,$401 - $1000 (50455 to 10092 copies),Very Good ++,Motown,$494.42
2017,$20 - $200 (100000 to 90819 copies),Very Good,Northern Soul,$53.70
2017,$201 - $400 (90818 to 50456 copies),Near Mint,Motown,$307.57
2017,$401 - $1000 (50455 to 10092 copies),Near Mint,Northern Soul,$1272.26
2017,$201 - $400 (90818 to 50456 copies),Very Good ++,Motown,$374.24
2017,$1801 - $3000 (100 to 10090 copies),Very Good ++,Northern Soul,$2870.75
2017,$401 - $1000 (50455 to 10092 copies),Good,Northern Soul,$65.07
2017,$201 - $400 (90818 to 50456 copies),Very Good,Motown,$340.14
2017,$401 - $1000 (50455 to 10092 copies),Near Mint,Northern Soul,$738.99
2017,$401 - $1000 (50455 to 10092 copies),Good,Motown,$61.80
2017,$1001 - $1800 (10091 to 20181 copies),Poor,Motown,$64.33
2017,$1801 - $3000 (100 to 10090 copies),Poor,Motown,$116.64
2017,$201 - $400 (90818 to 50456 copies),Good,Motown,$13.68
2017,$1801 - $3000 (100 to 10090 copies),Good,Motown,$176.96
2017,$201 - $400 (90818 to 50456 copies),Very Good,Motown,$307.29
2017,$1801 - $3000 (100 to 10090 copies),Poor,Northern Soul,$183.96
2017,$201 - $400 (90818 to 50456 copies),Good,Northern Soul,$35.09
2017,$20 - $200 (100000 to 90819 copies),Poor,Motown,$0.96
2017,$201 - $400 (90818 to 50456 copies),Near Mint,Northern Soul,$345.00
2017,$401 - $1000 (50455 to 10092 copies),Poor,Motown,$35.92
2017,$1801 - $3000 (100 to 10090 copies),Poor,Motown,$100.81
2017,$401 - $1000 (50455 to 10092 copies),Near Mint,Motown,$742.29
2017,$201 - $400 (90818 to 50456 copies),Near Mint,Motown,$382.02
2017,$1801 - $3000 (100 to 10090 copies),Very Good,Northern Soul,$3377.52
2017,$20 - $200 (100000 to 90819 copies),Poor,Northern Soul,$11.21
2017,$1001 - $1800 (10091 to 20181 copies),Poor,Northern Soul,$102.06
2017,$1001 - $1800 (10091 to 20181 copies),Poor,Motown,$53.48
2017,$201 - $400 (90818 to 50456 copies),Poor,Motown,$10.87
2017,$1801 - $3000 (100 to 10090 copies),Near Mint,Northern Soul,$3815.52
2017,$1801 - $3000 (100 to 10090 copies),Near Mint,Northern Soul,$3963.06
2017,$1801 - $3000 (100 to 10090 copies),Very Good ++,Motown,$2806.96
2017,$20 - $200 (100000 to 90819 copies),Near Mint,Motown,$107.64
2017,$201 - $400 (90818 to 50456 copies),Very Good ++,Northern Soul,$570.42
2018,$1001 - $1800 (10091 to 20181 copies),Very Good ++,Motown,$1275.74
2018,$401 - $1000 (50455 to 10092 copies),Very Good,Northern Soul,$1276.50
2018,$1001 - $1800 (10091 to 20181 copies),Poor,Motown,$70.79
2018,$20 - $200 (100000 to 90819 copies),Very Good ++,Motown,$157.11
2018,$401 - $1000 (50455 to 10092 copies),Good,Motown,$47.96
2018,$1801 - $3000 (100 to 10090 copies),Near Mint,Northern Soul,$4401.34
2018,$1001 - $1800 (10091 to 20181 copies),Very Good,Northern Soul,$2225.02
2018,$20 - $200 (100000 to 90819 copies),Very Good,Northern Soul,$109.37
2018,$1801 - $3000 (100 to 10090 copies),Near Mint,Motown,$2195.11
2018,$1001 - $1800 (10091 to 20181 copies),Good,Motown,$81.65
2018,$1801 - $3000 (100 to 10090 copies),Very Good,Motown,$2331.14
2018,$1801 - $3000 (100 to 10090 copies),Good,Northern Soul,$274.40
2018,$1801 - $3000 (100 to 10090 copies),Near Mint,Motown,$2796.96
2018,$401 - $1000 (50455 to 10092 copies),Poor,Motown,$24.00
2018,$401 - $1000 (50455 to 10092 copies),Very Good,Northern Soul,$531.32
2018,$201 - $400 (90818 to 50456 copies),Near Mint,Northern Soul,$363.09
2018,$20 - $200 (100000 to 90819 copies),Poor,Motown,$3.73
2018,$1001 - $1800 (10091 to 20181 copies),Very Good,Motown,$1113.19
2018,$401 - $1000 (50455 to 10092 copies),Near Mint,Motown,$1027.78
2018,$201 - $400 (90818 to 50456 copies),Good,Motown,$21.36
2018,$401 - $1000 (50455 to 10092 copies),Very Good ++,Northern Soul,$1079.38
2018,$1001 - $1800 (10091 to 20181 copies),Very Good ++,Northern Soul,$1830.25
2018,$1801 - $3000 (100 to 10090 copies),Poor,Northern Soul,$150.57
2018,$401 - $1000 (50455 to 10092 copies),Near Mint,Northern Soul,$1211.11
2018,$401 - $1000 (50455 to 10092 copies),Poor,Motown,$27.10
2018,$1801 - $3000 (100 to 10090 copies),Poor,Motown,$86.96
2018,$201 - $400 (90818 to 50456 copies),Good,Northern Soul,$25.21
2018,$20 - $200 (100000 to 90819 copies),Poor,Northern Soul,$10.04
2018,$201 - $400 (90818 to 50456 copies),Good,Northern Soul,$29.93
2018,$201 - $400 (90818 to 50456 copies),Near Mint,Northern Soul,$363.93
2018,$20 - $200 (100000 to 90819 copies),Very Good ++,Motown,$104.81
2018,$20 - $200 (100000 to 90819 copies),Very Good,Northern Soul,$161.78
2018,$1001 - $1800 (10091 to 20181 copies),Very Good,Motown,$1137.19
2018,$401 - $1000 (50455 to 10092 copies),Good,Northern Soul,$87.69
2018,$401 - $1000 (50455 to 10092 copies),Poor,Northern Soul,$58.94
2018,$201 - $400 (90818 to 50456 copies),Very Good ++,Northern Soul,$476.22
2018,$1001 - $1800 (10091 to 20181 copies),Very Good,Northern Soul,$1546.76
2018,$201 - $400 (90818 to 50456 copies),Poor,Motown,$13.03
2018,$201 - $400 (90818 to 50456 copies),Very Good,Northern Soul,$453.97
2018,$201 - $400 (90818 to 50456 copies),Good,Motown,$14.67
2018,$201 - $400 (90818 to 50456 copies),Good,Motown,$22.46
2018,$20 - $200 (100000 to 90819 copies),Good,Northern Soul,$10.09
2018,$1801 - $3000 (100 to 10090 copies),Near Mint,Northern Soul,$4423.88
2018,$1801 - $3000 (100 to 10090 copies),Near Mint,Northern Soul,$4794.92
2018,$401 - $1000 (50455 to 10092 copies),Good,Northern Soul,$43.09
2018,$1001 - $1800 (10091 to 20181 copies),Very Good,Northern Soul,$1934.76
2018,$401 - $1000 (50455 to 10092 copies),Near Mint,Motown,$648.56
2018,$1001 - $1800 (10091 to 20181 copies),Poor,Motown,$55.06
2018,$401 - $1000 (50455 to 10092 copies),Poor,Motown,$32.70
2018,$1801 - $3000 (100 to 10090 copies),Very Good ++,Northern Soul,$3895.03
2018,$20 - $200 (100000 to 90819 copies),Very Good ++,Motown,$79.43
2018,$1001 - $1800 (10091 to 20181 copies),Near Mint,Motown,$1951.67
2018,$1001 - $1800 (10091 to 20181 copies),Poor,Northern Soul,$116.09
2018,$20 - $200 (100000 to 90819 copies),Near Mint,Motown,$29.89
2018,$1001 - $1800 (10091 to 20181 copies),Very Good ++,Motown,$1317.59
2018,$401 - $1000 (50455 to 10092 copies),Very Good ++,Northern Soul,$1349.25
2018,$1801 - $3000 (100 to 10090 copies),Poor,Northern Soul,$122.20
2018,$20 - $200 (100000 to 90819 copies),Near Mint,Northern Soul,$120.24
2018,$1801 - $3000 (100 to 10090 copies),Good,Northern Soul,$185.13
2018,$201 - $400 (90818 to 50456 copies),Very Good,Northern Soul,$516.76
